review_id,user_name,content,score,thumbs_up_count,at,reply_content,reply_at,app_version
gp:AOqpTOH1234567890,João Silva,"Excelente aplicativo! Muito fácil de usar e funciona perfeitamente. Recomendo para todos.",5,12,2024-01-15 10:30:00,"Obrigado pelo feedback positivo! Continuaremos melhorando.",2024-01-16 09:15:00,2.1.5
gp:AOqpTOH0987654321,Maria Santos,"App muito bom, mas poderia ter mais opções de personalização. No geral estou satisfeita.",4,8,2024-01-14 16:45:00,"Agradecemos a sugestão! Estamos trabalhando em novas funcionalidades.",2024-01-15 11:20:00,2.1.4
gp:AOqpTOH1122334455,Pedro Costa,"Aplicativo travou algumas vezes, mas depois da última atualização melhorou bastante.",3,5,2024-01-13 14:20:00,"Obrigado por reportar. Corrigimos vários bugs na versão mais recente.",2024-01-14 08:30:00,2.1.5
gp:AOqpTOH5566778899,Ana Oliveira,"Perfeito! Uso todos os dias e nunca tive problemas. Interface muito intuitiva.",5,15,2024-01-12 09:10:00,"Ficamos felizes em saber que você está gostando!",2024-01-12 15:45:00,2.1.4
gp:AOqpTOH9988776655,Carlos Ferreira,"Não consegui fazer login. Tentei várias vezes mas sempre dá erro.",1,3,2024-01-11 20:30:00,"Lamentamos o problema. Entre em contato conosco pelo suporte para resolvermos.",2024-01-12 07:00:00,2.1.3
gp:AOqpTOH4433221100,Lucia Mendes,"App funciona bem, mas consome muita bateria. Seria bom otimizar isso.",3,7,2024-01-10 13:15:00,"Estamos trabalhando na otimização de bateria para a próxima versão.",2024-01-11 10:30:00,2.1.4
gp:AOqpTOH7788990011,Roberto Lima,"Muito bom! Facilita muito minha rotina diária. Parabéns aos desenvolvedores.",5,20,2024-01-09 11:45:00,"Muito obrigado! Seu feedback nos motiva a continuar melhorando.",2024-01-09 16:20:00,2.1.4
gp:AOqpTOH2233445566,Fernanda Rocha,"Interface bonita, mas algumas funcionalidades são confusas. Precisa de tutorial.",4,6,2024-01-08 17:30:00,"Obrigado pela sugestão! Estamos desenvolvendo um tutorial interativo.",2024-01-09 09:15:00,2.1.3
gp:AOqpTOH6677889900,Marcos Alves,"Aplicativo lento para carregar. Demora muito para abrir as telas.",2,4,2024-01-07 12:00:00,"Identificamos o problema e já lançamos uma correção. Atualize para a versão mais recente.",2024-01-08 08:45:00,2.1.5
gp:AOqpTOH1357924680,Juliana Pereira,"Adorei! Finalmente um app que faz exatamente o que promete. 5 estrelas merecidas!",5,18,2024-01-06 15:20:00,"Obrigado pela avaliação! É muito gratificante saber que atendemos suas expectativas.",2024-01-07 10:10:00,2.1.4